Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,45.6905300617,56.0710990429,0.0948108955854356
1,49.4212870598,105.492438078,0.0948108955854356
2,52.1323368549,157.624825001,0.0973150424926657
3,54.0233180523,211.648188114,0.10187264320537553
4,53.1986589432,264.846892118,0.11207857528231123
5,54.3355209827,319.182459116,0.11207857528231123
6,53.8725597858,373.055063963,0.11463872548088627
7,53.7842469215,426.839360952,0.12519934503741012
8,54.867866993,481.707283974,0.12519934503741012
9,58.1926059723,539.899937153,0.12731946941765
10,56.8056070805,596.705587149,0.14080026029007287
11,56.9445199966,653.65015316,0.14080026029007287
12,63.0270988941,716.677298069,0.14171231379701488
13,65.9294118881,782.606754065,0.14171231379701488
14,72.3934121132,855.000213146,0.14542453157922167
15,66.1884169579,921.188673973,0.16285488749157284
16,66.186841011,987.375564098,0.16290022348464325
17,61.4488918781,1048.82450199,0.1633935857630656
18,61.4439949989,1110.268543,0.1692259279256317
19,62.5895380974,1172.85812712,0.1692259279256317
20,63.5000700951,1236.35824513,0.17147139299286537
21,63.2860329151,1299.64432406,0.17361818560634726
22,61.4698638916,1361.11423206,0.17361818560634765
23,61.5608439445,1422.67512298,0.17756775064694577
24,63.7276768684,1486.40284395,0.17756775064694577
25,65.3536570072,1551.75654697,0.17756775064694577
26,65.9461779594,1617.70277095,0.1822773602773175
27,65.6493151188,1683.35213208,0.1822773602773175
28,65.902477026,1749.25465202,0.1822773602773175
29,65.735519886,1814.99021697,0.18682162687349274
30,66.168407917,1881.15867209,0.18682162687349274
31,70.6394939423,1951.7982111,0.18682162687349274
32,67.4137089252,2019.21196604,0.18682162687349443
33,68.0572550297,2087.26926804,0.19464075226152572
34,66.996062994,2154.265378,0.19464075226152572
35,68.0150339603,2222.28045702,0.19705689400850868
36,68.1660969257,2290.44659996,0.19705689400850868
37,68.7069292068,2359.15357518,0.19705689400850868
38,72.2984690666,2431.45209002,0.19705689400850868
39,70.1971139908,2501.64925003,0.19705689400850868
40,72.1481928825,2573.79748797,0.19705689400851018
41,68.63159585,2642.42913198,0.1982116284194889
42,67.7474448681,2710.17662001,0.19898500712447276
43,65.7691531181,2775.94581819,0.1991396828654934
44,68.2040550709,2844.14992213,0.1991396828654934
45,69.7496438026,2913.89961195,0.20052109724168632
46,68.5672569275,2982.46691203,0.20052109724168632
47,67.7900381088,3050.25699711,0.20180383916249026
48,69.448472023,3119.7055161,0.20180383916249026
49,70.0410869122,3189.74664998,0.20180383916249026
50,70.5912501812,3260.33794618,0.20180383916249026
51,67.4277448654,3327.76573801,0.2018065059855274
52,68.7403848171,3396.50617099,0.20254788281306843
53,68.7453238964,3465.25154305,0.2042893183104858
54,69.6952819824,3534.94687104,0.2042893183104858
55,68.6265718937,3603.573488,0.2042893183104858
56,69.338547945,3672.912081,0.2042893183104858
57,69.4940800667,3742.40620804,0.20461733755450154
58,70.4522981644,3812.85855317,0.20497735867558906
59,69.1212210655,3881.97982311,0.2057987401969256
60,68.3873779774,3950.36724997,0.2057987401969256
61,69.3896179199,4019.75691509,0.2065161156156895
62,69.4228320122,4089.17979908,0.2065161156156895
63,69.5459389687,4158.72578597,0.2094016182322481
64,74.2564969063,4232.98233104,0.20940161823224826
65,71.1196241379,4304.10200214,0.2107296961458746
66,65.8443310261,4369.94638205,0.2107296961458746
67,69.5095739365,4439.45600104,0.2107296961458746
68,68.3126540184,4507.76870418,0.2115030748509636
69,69.0217661858,4576.79051614,0.2115030748509636
70,74.7726640701,4651.56323218,0.21213244510700385
71,73.4090390205,4724.97231817,0.21274048077860871
72,71.8338499069,4796.806216,0.21295115980510423
73,71.0477759838,4867.85404205,0.21295115980510423
74,69.4571659565,4937.31125402,0.21295115980510423
75,71.8760509491,5009.18735313,0.2151112865326063
76,69.3076379299,5078.49503899,0.21511128653260633
77,70.5030171871,5148.99810314,0.21511128653260633
78,69.3306941986,5218.32884216,0.21570065444234704
79,70.1375091076,5288.46639609,0.2157006544423483
80,71.4316370487,5359.89808011,0.21580199372101908
81,69.5953650475,5429.49350405,0.21580199372101908
82,72.2881557941,5501.78170896,0.21580199372101908
83,71.4713540077,5573.25311112,0.21659404018730696
84,68.6700661182,5641.92322516,0.21799678914852125
85,70.351995945,5712.27526808,0.21799678914852125
