Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,332.983834028,414.101011992,0.04547999613421466
1,346.006303072,760.107367039,0.058213161036102204
2,350.342459917,1110.44987893,0.058213161036102204
3,419.606544971,1530.05647898,0.09678302902563436
4,496.507953167,2026.56448603,0.1133748867700512
5,534.049335957,2560.61387682,0.11456865645193158
6,615.829977036,3176.44390988,0.13427032360922353
7,678.635535955,3855.07950187,0.1532869322464515
8,793.086321115,4648.16587996,0.1532869322464515
9,781.047765017,5429.21370101,0.1532869322464515
10,741.796156883,6171.00991488,0.1549370067594433
11,670.625038862,6841.63500786,0.1660372699710234
12,676.99563694,7518.63069987,0.17307469953209897
13,656.898503065,8175.52925897,0.17409476296366277
14,591.829535007,8767.35884905,0.17928077565444112
15,517.249627113,9284.608531,0.17928077565444112
