Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,153.37360096,239.203449011,0.010845109679326063
1,153.773974895,392.977452993,0.010845109679326063
2,153.822907209,546.800403118,0.010845109679326063
3,153.545179129,700.345621109,0.011338828337235728
4,153.718001127,854.063661098,0.01502148850639652
5,153.689988136,1007.7536931,0.01502148850639652
6,153.764328957,1161.51806092,0.01502148850639652
7,153.630674839,1315.14877295,0.01502148850639652
8,153.796861887,1468.94567394,0.015192643558555555
9,153.775285006,1622.720999,0.016307427246172748
10,153.866443157,1776.58748412,0.016307427246172748
11,153.876431942,1930.46395707,0.016307427246172748
12,153.560174942,2084.02416396,0.01681875703854662
13,153.584359884,2237.60855699,0.017728433384780508
14,153.822833776,2391.43142891,0.018419549595788287
15,153.308685064,2544.74015212,0.018419549595788287
16,153.693751097,2698.43394208,0.01844363425510887
17,153.64718008,2852.08116102,0.01844659004857533
18,153.517714977,3005.59891891,0.01859933601442352
19,153.61581707,3159.21477413,0.01935665975135447
20,153.700542212,3312.91535711,0.01935665975135447
21,153.32200408,3466.23740101,0.01935665975135447
22,153.520999908,3619.75844002,0.01935665975135447
23,153.475411177,3773.23387814,0.019880048731526677
24,153.429596186,3926.66351509,0.019880048731526677
25,153.457324028,4080.12087798,0.020061880604195708
26,153.382501125,4233.50342011,0.021134091874871204
27,153.098118067,4386.601578,0.021134091874871204
28,153.536466122,4540.13808513,0.021134091874871204
29,153.45815897,4693.59628391,0.021384199205013724
30,153.515237093,4847.11156106,0.021459161723754294
31,153.520550966,5000.63214707,0.021459161723754294
32,153.775996923,5154.40817404,0.021548318794394058
33,153.813580036,5308.22179294,0.021548318794394058
34,153.410992146,5461.63282609,0.021548318794394058
35,153.685140848,5615.3180089,0.021548318794394058
36,153.411966085,5768.73001504,0.021799505045346067
37,153.427212,5922.1572659,0.021799505045346067
38,153.319377899,6075.47668791,0.021799505045346067
39,153.465401173,6228.94212914,0.02187328749445129
40,153.509150982,6382.45131803,0.02187328749445129
41,153.389564037,6535.84092307,0.02187328749445129
42,153.581890106,6689.42285204,0.02187328749445129
43,153.44187808,6842.86476898,0.02187328749445129
44,153.652532816,6996.51733994,0.02187328749445129
45,153.631988049,7150.14936113,0.02187328749445129
46,153.615410089,7303.76480913,0.02187328749445129
47,153.222415924,7456.98726201,0.02187328749445129
48,153.320732832,7610.30803394,0.02187328749445129
49,153.566416025,7763.87449098,0.02187328749445129
50,153.697185993,7917.57171512,0.02187328749445129
51,153.529776096,8071.10153008,0.02187328749445129
52,153.260601044,8224.36216807,0.02187328749445129
53,153.489490032,8377.85169411,0.02187328749445129
54,153.292567015,8531.14429998,0.02187328749445129
55,153.610738993,8684.75507712,0.02187328749445129
56,153.586593866,8838.34170794,0.02187328749445129
57,153.628162861,8991.96990895,0.02187328749445129
58,153.94777894,9145.91772604,0.02187328749445129
