Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,95.9293830395,149.818536997,0.009124770448536044
1,95.8625049591,245.681082964,0.009263310623723266
2,96.0089509487,341.690073967,0.009263310623723266
3,95.9484169483,437.638525963,0.009772977079847091
4,95.9048440456,533.543410063,0.010511138733650683
5,95.9398298264,629.483280897,0.01091285691504549
6,95.876718998,725.360038042,0.011178552403125996
7,95.9963219166,821.356400967,0.011178552403125996
8,96.0205020905,917.376944065,0.011178552403125996
9,95.9968860149,1013.3738699,0.011178552403125996
10,96.0616579056,1109.43556786,0.012368984173748305
11,95.997977972,1205.43358588,0.012599187662708561
12,96.0130400658,1301.44666505,0.012599187662708561
13,96.0051271915,1397.45183206,0.013412783863109136
14,95.897578001,1493.34944892,0.014137144321558609
15,95.957048893,1589.30653691,0.014137144321558609
16,95.9754259586,1685.28200197,0.014137144321558609
17,96.0850617886,1781.36710286,0.014787890912277796
18,96.1591761112,1877.52631903,0.014787890912277796
19,96.1115100384,1973.63787007,0.014787890912277796
20,96.1472580433,2069.78516698,0.015491841785415692
21,96.0489280224,2165.83413696,0.015491841785415692
22,95.9277069569,2261.76188397,0.015491841785415692
23,96.0170590878,2357.77899003,0.015623818525680733
24,95.9861459732,2453.76517391,0.016175147059314263
25,95.8124389648,2549.57765698,0.016402630768734862
26,95.9420158863,2645.51971793,0.016402630768734862
27,96.0234799385,2741.54323792,0.016426771621845537
28,95.8587510586,2837.40202999,0.017148153809312023
29,96.0286700726,2933.43074107,0.017148153809312023
30,95.8938169479,3029.32459593,0.017148153809312023
31,95.8375759125,3125.16221094,0.01733540276354482
32,95.8649919033,3221.02724195,0.017843158630737915
33,95.870844841,3316.89811993,0.017843158630737915
34,95.8410279751,3412.73918891,0.017843158630737915
35,96.0084078312,3508.74763989,0.018345373790024093
36,95.8649630547,3604.61264896,0.018440341298773658
37,95.9918708801,3700.60456491,0.018854849187257584
38,95.7111661434,3796.31577301,0.018933936330342845
39,95.8045060635,3892.12032008,0.019724223345754303
40,95.8929240704,3988.01328301,0.019724223345754303
41,95.9374189377,4083.95074201,0.019724223345754303
42,95.894297123,4179.84507799,0.019724223345754303
43,96.0175969601,4275.86271596,0.019724223345754303
44,95.9666998386,4371.82945585,0.019724223345754303
45,95.9682600498,4467.79775405,0.019724223345754303
46,95.9023520947,4563.70014596,0.020113174297564273
47,95.9985628128,4659.69874787,0.020113174297564273
48,95.8385059834,4755.53729391,0.020113174297564273
49,95.9414269924,4851.47876096,0.020113174297564273
50,95.7152051926,4947.19400406,0.020113174297564273
51,95.6324379444,5042.82647991,0.020113174297564273
52,96.3432059288,5139.16972494,0.020113174297564273
53,96.0372908115,5235.20705485,0.020113174297564273
54,96.0249278545,5331.23202085,0.020113174297564273
55,95.9668998718,5427.19896293,0.020113174297564273
56,95.8400731087,5523.03907299,0.020113174297564273
57,95.8632891178,5618.90240002,0.020113174297564273
58,95.8955249786,5714.79796505,0.020113174297564273
59,95.9892590046,5810.78726196,0.020113174297564273
60,96.0025060177,5906.78980494,0.020113174297564273
61,96.1455228329,6002.93536592,0.020113174297564273
62,95.9337830544,6098.86918807,0.020113174297564273
63,95.9499080181,6194.81913495,0.020113174297564273
64,95.962690115,6290.78186297,0.020113174297564273
65,95.8156759739,6386.59757686,0.020113174297564273
66,96.0044178963,6482.60203195,0.020113174297564273
67,95.895731926,6578.49780893,0.020113174297564273
68,95.9592208862,6674.45706892,0.020113174297564273
69,96.0781788826,6770.53528595,0.020113174297564273
70,95.8583769798,6866.39370394,0.020113174297564273
71,95.8054919243,6962.19923997,0.020113174297564273
72,95.8960740566,7058.09535193,0.020113174297564273
73,96.1428859234,7154.238271,0.020113174297564273
74,96.1815869808,7250.41989303,0.020113174297564273
75,96.0241529942,7346.44408607,0.020113174297564273
76,96.0621500015,7442.50627589,0.020113174297564273
77,95.9781699181,7538.48448491,0.020113174297564273
78,95.84547019,7634.32999206,0.020113174297564273
79,96.037571907,7730.36761093,0.020113174297564273
80,95.9896628857,7826.35731196,0.020113174297564273
81,96.088078022,7922.44542789,0.020113174297564273
82,95.8739550114,8018.31942105,0.020113174297564273
83,95.9024310112,8114.22189498,0.020113174297564273
84,95.9107170105,8210.132653,0.020113174297564273
85,95.767250061,8305.89994192,0.020113174297564273
86,95.9907269478,8401.89071202,0.020113174297564273
87,95.8766927719,8497.76744485,0.020113174297564273
88,95.9134740829,8593.68095708,0.020113174297564273
89,96.0929400921,8689.77393603,0.020113174297564273
90,96.1803810596,8785.954355,0.020113174297564273
91,96.0185711384,8881.97296906,0.020113174297564273
92,95.7909090519,8977.76391697,0.020113174297564273
93,95.8755450249,9073.63949895,0.020113174297564273
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,96.5087218285,150.353521824,0.00880723056779613
1,96.7359650135,247.089529991,0.00880723056779613
2,96.2001590729,343.289727926,0.00880723056779613
3,96.2985568047,439.588323832,0.00880723056779613
4,96.2878911495,535.876255989,0.010499776348877955
5,96.1139221191,631.990217924,0.010499776348877955
6,95.9820520878,727.97231102,0.010499776348877955
7,96.1858589649,824.158210993,0.010673257824030249
8,95.8920528889,920.05030489,0.010673257824030249
9,96.0836629868,1016.13400888,0.012282805374094059
10,96.3492059708,1112.48325396,0.012282805374094059
11,96.5209128857,1209.0042069,0.012282805374094059
12,96.2174270153,1305.22167587,0.012282805374094059
13,96.0320019722,1401.25371695,0.012282805374094059
14,96.2119178772,1497.46567488,0.014062136847785648
15,96.389829874,1593.85554385,0.014062136847785648
16,96.2105810642,1690.06616688,0.014062136847785648
17,96.5007650852,1786.56697297,0.014799140909468201
18,96.3015108109,1882.86852384,0.01651692894198682
19,96.5369038582,1979.40546679,0.01651692894198682
20,96.5374240875,2075.94292903,0.01651692894198682
21,96.5443341732,2172.48730302,0.01651692894198682
22,96.6468260288,2269.13417101,0.017890732295179564
23,96.7790880203,2365.91329789,0.017890732295179564
24,96.6096329689,2462.52297091,0.01843144020209477
25,96.7430799007,2559.26609087,0.01843144020209477
26,96.3956549168,2655.66178584,0.01843144020209477
27,96.8982560635,2752.56008291,0.01843144020209477
28,96.6745519638,2849.23467493,0.019352051860284054
29,96.5690832138,2945.80379701,0.019904762761203523
30,96.4911580086,3042.29499388,0.020582268835750362
31,96.7635779381,3139.05860686,0.021030167075535847
32,96.3217768669,3235.38042688,0.021030167075535847
33,96.604585886,3331.98505282,0.021030167075535847
34,96.6227641106,3428.60785699,0.021030167075535847
35,96.5480539799,3525.15595198,0.021194376574983353
36,96.4452211857,3621.60121202,0.0212751158155577
37,96.2303209305,3717.83157182,0.021761079730152198
38,96.5390601158,3814.37067294,0.021788007795354662
39,96.2641129494,3910.6348269,0.02261899035504876
40,96.3235011101,4006.95836401,0.02261899035504876
41,96.18714118,4103.14554501,0.02265313370316433
42,96.2830421925,4199.42862701,0.022977473032749853
43,96.2107708454,4295.63944387,0.02317373547124547
44,95.9948830605,4391.63436699,0.023277817613083052
45,96.3758280277,4488.01023388,0.023459739395819818
46,96.4040019512,4584.41427588,0.02379049605646925
47,96.2221870422,4680.63650203,0.02402334065366077
48,96.2717499733,4776.90829182,0.02413476170475439
49,96.4633250237,4873.3716619,0.02413476170475439
50,96.1975309849,4969.56922889,0.02413476170475439
51,96.3945548534,5065.9638238,0.02413476170475439
52,96.5614600182,5162.52532387,0.02413633513093481
53,96.2644338608,5258.78979588,0.02413633513093481
54,96.4430580139,5355.2328949,0.02413633513093481
55,96.2862429619,5451.51917887,0.02413633513093481
56,96.3725380898,5547.89175296,0.02413633513093481
57,96.3251039982,5644.21689796,0.02413633513093481
58,96.3912100792,5740.60814691,0.02413633513093481
59,96.5554289818,5837.16361284,0.02413633513093481
60,96.6358730793,5933.79952192,0.02413633513093481
61,96.4431018829,6030.24266291,0.02413633513093481
62,96.412142992,6126.65484285,0.02413633513093481
63,96.420374155,6223.07525396,0.02413633513093481
64,96.3994879723,6319.47481179,0.02413633513093481
65,96.4562089443,6415.93105888,0.02413633513093481
66,96.2585721016,6512.18966794,0.02413633513093481
67,96.3896560669,6608.57936192,0.02413633513093481
68,96.4534947872,6705.0328958,0.02413633513093481
69,96.4138278961,6801.4467659,0.02413633513093481
70,96.313685894,6897.76049089,0.02413633513093481
71,96.3732428551,6994.13377285,0.02413633513093481
72,96.5219528675,7090.65576386,0.02413633513093481
73,96.5572440624,7187.21304703,0.02413633513093481
74,96.4354169369,7283.64850283,0.02413633513093481
75,96.6368939877,7380.28543496,0.02413633513093481
76,96.4449670315,7476.73043799,0.02413633513093481
77,96.1326029301,7572.86307883,0.02413633513093481
78,96.4063298702,7669.2694478,0.02413633513093481
79,96.3280129433,7765.59749889,0.02413633513093481
80,96.4976871014,7862.0952239,0.02413633513093481
