Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,254.444501877,308.119416952,0.00918672972376558
1,258.739969969,566.859425068,0.009386981921504518
2,214.303678036,781.163140059,0.009718188132491487
3,241.915430069,1023.07860208,0.010020285959140087
4,268.328365088,1291.40700603,0.011489506371420202
5,240.525663137,1531.93270707,0.011770374183390152
6,270.46794796,1802.40069294,0.012616135710422135
7,256.752189875,2059.15292192,0.012616135710422135
8,233.619755983,2292.77271605,0.012616135710422135
9,270.46132803,2563.23408604,0.012616135710422135
10,291.522681952,2854.75680804,0.012616135710422135
11,282.710128069,3137.46697998,0.012616135710422135
12,244.616063118,3382.08308005,0.012616135710422135
13,268.813877106,3650.89699507,0.012616135710422135
14,296.649917841,3947.54695392,0.012616135710422135
15,273.641777039,4221.1887691,0.012616135710422135
16,267.68798399,4488.87679005,0.012616135710422135
17,261.571451902,4750.4482789,0.012616135710422135
18,272.60416317,5023.05248213,0.012616135710422135
19,245.081984997,5268.13450503,0.012616135710422135
20,301.281968832,5569.41651392,0.012616135710422135
21,269.434533119,5838.85108304,0.012616135710422135
22,255.208534956,6094.05965495,0.012616135710422135
23,240.343076944,6334.4027729,0.012616135710422135
24,270.659236908,6605.062047,0.012616135710422135
25,252.119666815,6857.18175793,0.012616135710422135
26,255.19547081,7112.37726593,0.012616135710422135
27,281.740813017,7394.11811805,0.012616135710422135
28,274.105289936,7668.22345304,0.012616135710422135
29,250.889647961,7919.11313891,0.012616135710422135
30,262.982448101,8182.09562707,0.012616135710422135
31,307.192144871,8489.28781199,0.012616135710422135
32,231.472413063,8720.76026297,0.012616135710422135
33,301.479056835,9022.2393589,0.012616135710422135
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,248.785516977,302.702061892,0.010970860147311513
1,264.47055316,567.172651052,0.012549130232657616
2,258.116942167,825.289633036,0.015568703654335075
3,237.78874898,1063.07840991,0.016360732677305347
4,287.513730049,1350.59217596,0.01680361843082967
5,259.908776045,1610.50099206,0.01680361843082967
6,265.60296917,1876.10400105,0.01680361843082967
7,283.706277132,2159.81031609,0.01680361843082967
8,256.565095901,2416.375453,0.01680361843082967
9,244.132196903,2660.50769186,0.01680361843082967
10,303.659429073,2964.16716194,0.01680361843082967
11,254.878700972,3219.04589987,0.01680361843082967
12,259.520498991,3478.56644392,0.01680361843082967
