Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,424.181777954,525.252199888,0.04564583525372257
1,457.03281188,982.285084963,0.06613550795894561
2,481.642544985,1463.92768788,0.07134442523935622
3,547.243556023,2011.17130208,0.07974765615777804
4,727.186135054,2738.35749102,0.09755343467782518
5,794.989230156,3533.34678006,0.1065495662970643
6,880.891489029,4414.23832703,0.12410211311212772
7,867.26534009,5281.5037241,0.13553478508162475
8,753.837324142,6035.34110308,0.14717133936830262
9,719.122037888,6754.4631989,0.15939683831295628
10,702.613614082,7457.07686996,0.16852821715126506
11,651.396209002,8108.4731369,0.16852821715126506
12,601.046303988,8709.51949692,0.1701443618525094
13,659.297792912,9368.81734395,0.17021932437125006
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,424.216818094,522.541481972,0.07099884465602223
1,417.109590769,939.651126862,0.07605164434305012
2,450.465448141,1390.11663008,0.10492246380629132
3,501.488324881,1891.60501194,0.10492246380629132
4,506.97835803,2398.5834229,0.11054305680796936
5,628.829866171,3027.41334605,0.11054305680796936
6,665.459269047,3692.87267303,0.11054305680796936
7,812.216902971,4505.08963895,0.13948169093906812
8,949.489216089,5454.57891107,0.14232704112754718
9,902.089332819,6356.66830087,0.1465748310257484
10,843.606658936,7200.27501798,0.15205348974736818
11,759.255541086,7959.530617,0.15695709491622203
12,729.535336971,8689.06601095,0.16464231527464862
13,818.371546984,9507.43761206,0.17049880981591764
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,421.330821991,517.786754131,0.05248728334533714
1,426.189716816,943.976526022,0.06071624607527958
2,445.875771999,1389.8523562,0.06534777214122382
3,478.360837936,1868.21325207,0.0834559182182337
4,526.457407951,2394.670717,0.09113131590164514
5,546.608170986,2941.27894306,0.09453786225363868
6,526.578293085,3467.85729218,0.09663238470751573
7,536.664199114,4004.52155113,0.1084776314996002
8,617.213356018,4621.73496509,0.1084776314996002
9,635.491294861,5257.22631407,0.11480406348584951
10,620.955252886,5878.18162203,0.1264132064406591
11,588.815876961,6466.99755406,0.1264132064406591
12,644.968240976,7111.96585202,0.12696093857171228
13,596.909008026,7708.87491703,0.13181958870676408
14,627.225018978,8336.09998918,0.13729843848730405
15,644.104424953,8980.20447111,0.13729843848730405
