Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,121.561113119,150.259469986,0.05731680045263115
1,128.700952053,278.960485935,0.05947221645178187
2,127.138756037,406.099294901,0.05947221645178187
3,134.806986809,540.906335831,0.07297950139674075
4,141.364385128,682.27077198,0.07297950139674075
5,157.496906996,839.767732859,0.10526987718780285
6,164.196648836,1003.96443582,0.1102503371218974
7,158.909986019,1162.87447596,0.1102503371218974
8,168.371358156,1331.24588704,0.128787731997289
9,179.482823849,1510.72876382,0.14394024347140458
10,162.298925877,1673.02774286,0.15045907006565923
11,154.076231956,1827.10402894,0.16355836008095945
12,193.787377834,2020.89146185,0.17923737264952508
13,205.0814538,2225.97296882,0.17923737264952508
14,196.80478096,2422.77780485,0.1882406741700333
15,211.08921814,2633.86707401,0.19460166281241603
16,218.073747873,2851.94087481,0.19460166281241603
17,222.69856286,3074.63948989,0.19726883474208848
18,210.21194911,3284.85149097,0.20022590407912047
19,199.546248198,3484.39779401,0.21194432485085313
20,182.738894939,3667.13674283,0.21431655945577513
21,154.18032217,3821.31712198,0.21569702005729907
22,153.379234076,3974.69640899,0.21569702005730249
23,163.684556961,4138.38101792,0.21569702005730249
24,156.32030797,4294.70138597,0.21569702005730249
25,144.249300003,4438.95074201,0.21578484402216527
26,159.301252842,4598.25204682,0.21578484402216527
27,173.245517969,4771.49761987,0.21588155594952943
28,171.762206078,4943.25988197,0.21659037945871235
29,183.497520924,5126.75745893,0.21908902063922922
30,190.600333929,5317.35785484,0.22036548186529523
31,194.431776047,5511.78968191,0.22355724789352
32,181.153450012,5692.94318604,0.2260936544004285
33,144.681528091,5837.62476492,0.22629773699913966
34,160.359531164,5997.98434901,0.22629773699913966
35,165.165477037,6163.14988089,0.22850287110160786
36,178.064805031,6341.21474004,0.22850287110160786
37,160.400052071,6501.61484599,0.22909192846714005
38,156.635698795,6658.25060081,0.23263488819466915
39,155.80105114,6814.05170798,0.23263488819466915
40,176.346912146,6990.39867401,0.23410725918055
41,188.61499095,7179.01371884,0.23410725918055
42,177.6064291,7356.62020493,0.23410725918055
43,143.021252155,7499.64151001,0.23410725918055
44,168.353832006,7667.99539685,0.23410725918055
45,161.042163849,7829.03761387,0.23800291096111273
46,153.656074047,7982.69373989,0.23800291096111273
47,152.453929901,8135.14772391,0.23821111403271553
48,173.404134035,8308.55191088,0.23821111403271553
49,158.486112118,8467.03807497,0.23821111403271553
50,155.783816099,8622.82194495,0.2405778660249862
51,170.816538095,8793.63853693,0.240837762302795
52,151.440123081,8945.07871389,0.240837762302795
53,144.100935221,9089.17970204,0.24120683408725563
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,116.704926968,143.439759016,0.0506787866243307
1,123.333193064,266.773020029,0.06421488082681186
2,135.555077076,402.328155041,0.06421488082681186
3,140.861918211,543.190126181,0.10274000895219182
4,168.447472095,711.637653112,0.14692802906168123
5,225.053594112,936.691301107,0.1477230419683053
6,296.773514986,1233.46486807,0.15905502367342236
7,342.941087008,1576.40601301,0.18060863880733374
8,296.113524914,1872.519593,0.18278962898160614
9,307.741955996,2180.26160502,0.18929258664669965
10,262.936100006,2443.19776297,0.19707152878916817
11,237.181648016,2680.37946701,0.19707152878916817
12,252.018872023,2932.39839411,0.19901605149027332
13,252.38052392,3184.77897,0.19901605149027332
14,226.003852129,3410.78287411,0.19901605149027332
15,229.642758846,3640.42568398,0.1992611685510869
16,248.512501001,3888.93823719,0.2027852966956442
17,248.366328955,4137.30461812,0.2027852966956442
18,232.092008114,4369.39668608,0.20390739342655043
19,255.473282099,4624.87002707,0.20558980637273663
20,251.099042892,4875.96912599,0.20558980637273663
21,241.730326176,5117.69950819,0.2059796848428948
22,217.174978018,5334.87454009,0.2059796848428948
