Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,234.229430914,364.893774986,0.00343227444911489
1,234.431173086,599.324990034,0.004002887472222456
2,234.433419943,833.758452892,0.004835409834866716
3,233.92968297,1067.68817902,0.004835409834866716
4,233.934211969,1301.62243199,0.004835409834866716
5,234.354990005,1535.97746396,0.005397853480446043
6,234.301465034,1770.2789731,0.005960065740837513
7,234.220712185,2004.49972606,0.005960065740837513
8,234.374103069,2238.87387204,0.0060585999951897574
9,234.232607126,2473.10652208,0.006551529140676754
10,234.672148943,2707.77871394,0.006999522035365468
11,234.342925787,2942.12168288,0.006999522035365468
12,234.575940132,3176.69766903,0.006999522035365468
13,234.477374077,3411.17508602,0.006999522035365468
14,234.510542154,3645.68567204,0.007406957079177692
15,234.453269005,3880.13898206,0.007693418958543385
16,234.286994934,4114.42601895,0.007693418958543385
17,234.371184111,4348.79724598,0.007693418958543385
18,234.352642059,4583.14993501,0.008394373519608363
19,234.297312975,4817.44728994,0.008799185418835382
20,234.578063965,5052.02539706,0.008799185418835382
21,235.064342976,5287.08978295,0.008799185418835382
22,234.845477104,5521.93530107,0.009500376039530283
23,234.539166927,5756.47450995,0.009500376039530283
24,234.710925102,5991.18548203,0.009500376039530283
25,235.002089024,6226.1876111,0.009579788683941395
26,234.502741814,6460.69039488,0.009894654069456462
27,234.672727108,6695.36316299,0.009894654069456462
28,234.635990143,6929.9991951,0.009894654069456462
29,234.619438887,7164.61867595,0.010290113955743247
30,234.639361143,7399.25807905,0.010504662563949914
31,235.177289009,7634.43541098,0.01066201384340352
32,235.144864082,7869.58031797,0.01066201384340352
33,234.578498125,8104.15885901,0.01066201384340352
34,235.129424095,8339.28832603,0.010699224789279267
35,234.563573122,8573.85194206,0.010699224789279267
36,234.978818893,8808.83080387,0.010699224789279267
37,234.800644875,9043.63149095,0.010711385366590892
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,233.863733053,364.233505011,0.004208989352296943
1,234.015866995,598.249413967,0.004254936842089031
2,234.099510908,832.348968029,0.004779600038188134
3,234.38457489,1066.73358393,0.004779600038188134
4,234.210099936,1300.94373298,0.007047024558304242
5,234.050122023,1534.99389911,0.007047024558304242
6,234.183109045,1769.17705107,0.007047024558304242
7,234.29763484,2003.47473097,0.007047024558304242
8,234.02546382,2237.50023794,0.007047024558304242
9,233.855456829,2471.35573697,0.007047024558304242
10,234.06321311,2705.41899204,0.007959238474102275
11,234.301863909,2939.72089505,0.007959238474102275
12,234.585470915,3174.30640697,0.007959238474102275
13,234.539998055,3408.84644699,0.007959238474102275
14,234.495223045,3643.341712,0.007959238474102275
15,234.486600876,3877.82835793,0.007959238474102275
16,234.387897015,4112.21629596,0.008532651491746639
17,234.020372868,4346.23671103,0.008532651491746639
18,233.893923998,4580.13067698,0.008532651491746639
19,233.849303961,4813.980021,0.008625340348470208
20,234.961014032,5048.94107699,0.008758481101908066
21,235.369260073,5284.31037903,0.008758481101908066
22,235.154838085,5519.46525908,0.008955190457156328
23,235.107732058,5754.57303309,0.009468723012717771
24,234.961547852,5989.53462195,0.010140230886562617
25,234.150554895,6223.68522501,0.010188733741449721
26,234.300464153,6457.98573112,0.010292610111147002
27,234.461485147,6692.44725609,0.010400050747704288
