Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,586.995815992,717.689007998,0.004200885417053481
1,651.756738901,1369.44578791,0.004666222852242278
2,620.359425068,1989.80525398,0.005014878266540938
3,714.242040873,2704.04733992,0.006013635697662912
4,673.335441113,3377.38282299,0.006013635697662912
5,639.786117792,4017.16898084,0.006013635697662912
6,713.953905106,4731.12292504,0.006013635697662912
7,572.969969034,5304.09293389,0.006013635697662912
8,702.937178135,6007.03015399,0.006013635697662912
9,567.918333054,6574.94852805,0.006013635697662912
10,631.20263505,7206.15120506,0.006013635697662912
11,680.33654809,7886.48779798,0.006013635697662912
12,646.871375084,8533.35921192,0.006013635697662912
13,698.769757032,9232.12900901,0.006013635697662912
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,570.716412067,701.038944006,0.005147311620150785
1,674.848500013,1375.88748598,0.0052508296154905
2,623.110368967,1998.99789596,0.0052508296154905
3,653.750208855,2652.74814701,0.0052508296154905
4,579.236075163,3231.98426509,0.0052508296154905
5,589.828811884,3821.81311798,0.005910537623631431
6,627.64075613,4449.45391512,0.0062301055041652864
7,643.736883163,5093.19083714,0.00641084071135404
8,658.682211876,5751.87309098,0.00641084071135404
9,654.701568127,6406.57470012,0.00641084071135404
10,617.340084076,7023.91482401,0.00641084071135404
11,640.171666145,7664.08653212,0.00641084071135404
12,681.028352022,8345.11492515,0.00641084071135404
13,567.712338924,8912.82730508,0.00641084071135404
14,672.593701124,9585.42104912,0.00641084071135404
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,657.618666172,788.363634109,0.004851763392316089
1,657.468802929,1445.832479,0.0060459758684162845
2,579.340037107,2025.17255807,0.0060459758684162845
3,627.781358957,2652.95395803,0.0060459758684162845
4,654.117387056,3307.0713861,0.0060459758684162845
5,638.897466898,3945.96889901,0.0060459758684162845
6,687.165465832,4633.13440394,0.0060459758684162845
7,620.255730867,5253.39017701,0.0060459758684162845
8,676.462120056,5929.85233903,0.0060459758684162845
9,631.840445042,6561.69282508,0.0060459758684162845
10,702.573540926,7264.26640606,0.0060459758684162845
11,639.427335978,7903.693784,0.0060459758684162845
12,646.535625935,8550.22945094,0.0060459758684162845
13,717.524859905,9267.75435305,0.007473924784009256
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,581.772109985,712.363304138,0.0044590770120426755
1,608.991106033,1321.35445619,0.0046941004829812154
2,634.752038002,1956.1065352,0.005035582956329434
3,627.8742311,2583.98081017,0.005299661239894998
4,668.521324158,3252.50217819,0.005299661239894998
5,654.640067101,3907.14228415,0.005299661239894998
6,695.421200991,4602.56352711,0.005299661239894998
7,619.978158951,5222.54172897,0.005299661239894998
8,620.445945024,5842.98771715,0.005299661239894998
9,679.872555017,6522.86031604,0.005299661239894998
10,635.076558828,7157.93691802,0.005299661239894998
11,689.22837615,7847.16533613,0.005299661239894998
12,607.438892126,8454.60427117,0.005299661239894998
13,669.189291954,9123.79360509,0.005299661239894998
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,649.76554513,780.473750114,0.004325892630420799
1,662.363399029,1442.83719492,0.005254131334155558
2,614.178711891,2057.01595497,0.005876881595700329
3,610.053875923,2667.0698719,0.005876881595700329
4,781.855412006,3448.92532611,0.005876881595700329
5,676.329789877,4125.25515795,0.005876881595700329
6,683.718366146,4808.97356606,0.005876881595700329
7,631.959743023,5440.93334794,0.005876881595700329
8,663.111057043,6104.04444695,0.005876881595700329
9,666.387310028,6770.43179703,0.005876881595700329
10,595.781139851,7366.21297693,0.005876881595700329
11,648.62011385,8014.83313489,0.005876881595700329
12,654.82874012,8669.66191506,0.005876881595700329
13,636.070235014,9305.73219204,0.005876881595700329
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,676.644344091,807.396677971,0.006720531482576433
1,599.801074982,1407.19779301,0.007051314143713338
2,607.984187126,2015.18202209,0.007051314143713338
3,592.716467857,2607.89854193,0.007051314143713338
4,655.412137032,3263.31072092,0.007051314143713338
5,679.830652952,3943.14141393,0.007051314143713338
6,642.323817968,4585.465271,0.007051314143713338
7,612.683581114,5198.14889407,0.007051314143713338
8,750.939434052,5949.08837104,0.007051314143713338
9,661.711684942,6610.80009794,0.007051314143713338
10,657.540330172,7268.34047008,0.007051314143713338
11,631.696114779,7900.03662586,0.007051314143713338
12,593.627252102,8493.66391897,0.007051314143713338
