Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1146.67777109,1472.23925114,0.4339536978860171
1,1172.40116596,2644.64047599,0.4339536978860171
2,1326.50271797,3971.14325809,0.4339536978860171
3,1207.43917799,5178.58250213,0.4339536978860171
4,1281.0134089,6459.59597898,0.4339536978860171
5,1233.810462,7693.40650892,0.4339536978860171
6,1113.36596203,8806.77253699,0.4339536978860171
7,1081.04930902,9887.82191801,0.4339536978860171
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1305.13728499,1635.68590593,0.43395369788595334
1,1380.818542,3016.50450993,0.43395369788595334
2,1361.07122397,4377.57581091,0.43395369788595334
3,1317.30696917,5694.88284397,0.43395369788595334
4,1277.32615209,6972.20906091,0.43395369788595334
5,1448.05276203,8420.26188684,0.43395369788595334
6,1784.86150312,10205.1234629,0.43395369788595334
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1134.13965416,1460.90121102,0.43395369788606064
1,1139.4407599,2600.34203386,0.43395369788606064
2,1116.31048012,3716.65257907,0.43395369788606064
3,1133.74414492,4850.39679098,0.43395369788606064
4,1004.69853997,5855.09539986,0.43395369788606064
5,1068.22758889,6923.32306194,0.43395369788606064
6,1029.14016199,7952.46329284,0.43395369788606064
7,970.908473969,8923.37183094,0.43395369788606064
8,955.065743923,9878.43763995,0.43395369788606064
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1149.84191489,1474.41359401,0.4339536978859979
1,1157.70603991,2632.11969995,0.4339536978859979
2,1169.30267715,3801.42244315,0.43510266559751803
3,1224.48607898,5025.90859294,0.43510266559751803
4,1172.93019199,6198.83886003,0.43510266559751803
5,1195.69306707,7394.53199506,0.43510266559751803
6,1256.02334499,8650.55541015,0.43510266559751803
7,1174.30444884,9824.85992599,0.43510266559751803
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1201.66675401,1529.8771069,0.4339536978859923
1,1212.15812206,2742.03529286,0.4339536978859923
2,1208.67412901,3950.70948982,0.4339536978859923
3,1229.92582798,5180.63538599,0.4339536978859923
4,1142.31280899,6322.94826484,0.4339536978859923
5,1141.19862509,7464.14696002,0.4339536978859923
6,1089.34237981,8553.48940682,0.4339536978859923
7,1087.63583302,9641.12530684,0.43598159588313573
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1234.45610499,1565.67848802,0.4339536978860236
1,1248.21289897,2813.89144993,0.4339536978860236
2,1130.55614495,3944.44766402,0.4339536978860236
3,1210.23234892,5154.68008089,0.4339536978860236
4,1424.32225895,6579.00240898,0.4339536978860236
5,1292.95908213,7871.9615581,0.4339536978860236
6,1410.818923,9282.78054905,0.43418205559346684
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1185.08652091,1517.21977806,0.4339536978861366
1,1296.727108,2813.9469521,0.4339536978861366
2,1225.00258899,4038.94960904,0.4339536978861366
3,1244.07456589,5283.02424407,0.4339536978861366
4,1177.75268698,6460.77700305,0.4339536978861366
5,1195.80446506,7656.58154106,0.4339536978861366
6,1126.50900412,8783.09061313,0.4339536978861366
7,1019.88529801,9802.97597909,0.4339536978861366
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1282.87008119,1614.74767518,0.43395369788609606
1,1391.853158,3006.60089803,0.43395369788609606
2,1491.0491879,4497.65015507,0.43395369788609606
3,1351.08184886,5848.73207402,0.43395369788609606
4,1323.26719999,7171.99934506,0.43395369788609606
5,1246.36633801,8418.36575198,0.43395369788609606
6,1226.07604814,9644.44187212,0.43395369788609606
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1173.12764311,1499.08593798,0.43395369788616656
1,1176.27716804,2675.36317205,0.43395369788616656
2,1182.96133304,3858.32458091,0.43395369788616656
3,1128.94577289,4987.2704289,0.43395369788616656
4,1208.61615109,6195.88664794,0.43395369788616656
5,1224.30796504,7420.19467998,0.43395369788616656
6,1169.93892097,8590.13366985,0.43395369788616656
7,1095.54754996,9685.681288,0.43395369788616656
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
MGMC Modularity,0.0,0.0,0.00025782854628231814
0,1259.40771198,1593.06941795,0.43395369788602023
1,1282.79085493,2875.86033702,0.43395369788602023
2,1212.3718791,4088.23228407,0.43395369788602023
3,1160.78793406,5249.02028608,0.43395369788602023
4,1172.53548098,6421.55583692,0.43395369788602023
5,1272.87897205,7694.43487597,0.43395369788602023
6,1146.41981101,8840.85475707,0.43395369788602023
7,1171.17579889,10012.030623,0.43395369788602023
