Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,554.055917978,658.925992012,0.0044222696268574994
1,488.795361042,1147.72139907,0.005097454733393147
2,494.221238852,1641.94268107,0.005097454733393147
3,491.454060078,2133.39678311,0.005097454733393147
4,482.193985939,2615.59081006,0.005097454733393147
5,495.013314009,3110.60416913,0.005097454733393147
6,504.514333963,3615.11854315,0.005097454733393147
7,502.145409107,4117.26399422,0.005097454733393147
8,468.722429991,4585.98646402,0.005097454733393147
9,473.301727057,5059.28823113,0.005097454733393147
10,455.53449297,5514.82276511,0.005097454733393147
11,466.72061801,5981.54341602,0.005097454733393147
12,488.627958059,6470.17141509,0.005097454733393147
13,483.476397038,6953.64785123,0.005097454733393147
14,433.670988083,7387.31887913,0.005097454733393147
15,471.563463926,7858.88237906,0.005097454733393147
16,479.611471891,8338.493891,0.005097454733393147
17,474.757295132,8813.25122619,0.005097454733393147
18,477.357475996,9290.60874104,0.005097454733393147
