Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,933.844060183,1456.95471501,0.010390771188780637
1,934.437514067,2391.392272,0.010390771188780637
2,934.903631926,3326.29594684,0.010390771188780637
3,935.443128109,4261.73912001,0.010390771188780637
4,935.066839933,5196.80600691,0.0104151897277199
5,933.514084816,6130.32013583,0.011382907263844971
6,932.037836075,7062.35801697,0.011781595635778639
7,932.276034117,7994.63409305,0.011781595635778639
8,931.721853971,8926.35598898,0.0119745015482373
9,932.155282021,9858.51131392,0.013675751433930355
