Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,70.9529030323,87.7025611401,0.038065371948099565
1,71.9299690723,159.632593155,0.042977209776584195
2,76.9051418304,236.537785053,0.11152474772077298
3,85.6091930866,322.147029161,0.11152474772077298
4,111.677753925,433.824833155,0.12880393790095102
5,155.547800064,589.372681141,0.1446364236870006
6,204.075524807,793.448261023,0.15205421776110312
7,187.489701986,980.938012123,0.15875642985856342
8,185.974783182,1166.91284823,0.17226901167387876
9,171.848184109,1338.76108217,0.1790403137813924
10,165.63173604,1504.39286709,0.1790403137813924
11,167.48295188,1671.87586808,0.18484118030277077
12,161.136097908,1833.01201606,0.18688462800779598
13,156.174093962,1989.18615913,0.19210405109548456
14,167.388256073,2156.57446718,0.19214100174147714
15,170.928846121,2327.50336623,0.1958682057066382
16,169.334640026,2496.83806419,0.20098947864110547
17,144.2179389,2641.05605507,0.20098947864110547
18,156.367315054,2797.42342019,0.20390578913250784
19,131.140264988,2928.56373501,0.20390578913250784
20,125.027338982,3053.59112406,0.20390578913250784
21,142.324080944,3195.91525507,0.20390954193226818
22,147.163886786,3343.07919002,0.2043543449562253
23,129.715127945,3472.79437113,0.20634660062047416
24,141.64810586,3614.44252706,0.20634660062047416
25,131.404135942,3745.84671307,0.20634660062047416
26,132.819144011,3878.66590619,0.2101768622468834
27,116.922281981,3995.58823919,0.21206182632175793
28,132.285725117,4127.87401414,0.21206182632175793
29,139.138985157,4267.01305318,0.21285828594964648
30,140.584803104,4407.59790921,0.21285828594964648
31,139.798462868,4547.39642,0.21285828594964648
32,128.184037209,4675.58050823,0.21285828594964648
33,127.934640169,4803.51519823,0.2143680662514125
34,132.206007957,4935.72125506,0.2144554872459948
35,122.279478073,5058.00078321,0.2144554872459948
36,139.440692902,5197.44152403,0.21507128323340108
37,132.286973953,5329.7285471,0.21507128323340108
38,129.135976076,5458.86457419,0.21507128323340108
39,125.366317034,5584.2309432,0.21631283456196548
40,113.175296068,5697.40628815,0.21631283456196548
41,115.304626942,5812.71096706,0.21631283456196548
42,116.079841852,5928.79086304,0.21631283456196548
43,128.51116395,6057.30207515,0.21631283456196548
44,143.680394888,6200.98252106,0.21631283456196548
45,137.814902782,6338.797472,0.21776872850506668
46,124.076426983,6462.8739512,0.21776872850506668
47,147.102588892,6609.97659111,0.21776872850506668
48,143.664155006,6753.64079809,0.21797508439157132
49,133.853694916,6887.49454713,0.22105021530291305
50,150.297047853,7037.791646,0.22105021530291305
51,147.130385876,7184.92208409,0.22105021530291305
52,147.628144026,7332.55027914,0.22105021530291305
53,147.756532907,7480.30686212,0.22127956911740315
54,145.85490799,7626.16182017,0.22215252812946773
55,125.463765144,7751.62563515,0.22290361736770808
56,129.901531935,7881.5272181,0.22290361736770808
57,125.092936039,8006.62020707,0.22290361736770808
58,145.363767862,8151.984025,0.2235832590676192
59,112.530050993,8264.51412702,0.2235832590676192
60,136.453250885,8400.96742702,0.22432207953658567
61,141.875236988,8542.84271908,0.22432207953658567
62,142.577733994,8685.42050505,0.22432207953658567
63,142.16169405,8827.58225107,0.22432207953658567
64,138.441240072,8966.02354121,0.22446050012069974
65,145.324459076,9111.34805012,0.22446050012069974
