Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,11.1374809742,17.3294458389,0.010470793088601013
1,11.1401190758,28.4695949554,0.01065920289301049
2,11.1596791744,39.6293120384,0.013887043896098496
3,11.1508610249,50.7802019119,0.013887043896098496
4,11.1930649281,61.9733068943,0.014214355412796385
5,11.1669209003,73.1402668953,0.01491276111270877
6,11.159265995,84.2995729446,0.015759642976149242
7,11.1708099842,95.4704229832,0.01901009700478857
8,11.1552898884,106.625752926,0.01901009700478857
9,11.1853208542,117.811113834,0.01901009700478857
10,11.1717221737,128.982872009,0.01901009700478857
11,11.1723480225,140.15525794,0.019697051853456216
12,11.1907329559,151.346017838,0.019697051853456216
13,11.1800820827,162.526140928,0.019697051853456216
14,11.2207500935,173.74693203,0.01985019496055784
15,11.2035441399,184.950505972,0.020789549664686754
16,11.2004961967,196.151041031,0.021745599517451898
17,11.1892011166,207.340280056,0.021745599517451898
18,11.1870260239,218.527343035,0.0231987510298594
19,11.1997089386,229.727092981,0.0231987510298594
20,11.2106711864,240.93780303,0.023720775130439888
21,11.2005851269,252.138427019,0.023720775130439888
22,11.2020318508,263.340499878,0.023827104463366017
23,11.1996769905,274.540215969,0.023894125622083692
24,11.1934139729,285.733669996,0.02422321731314198
25,11.2054738998,296.939184904,0.02507770100218888
26,11.2111680508,308.150393009,0.02507770100218888
27,11.2051019669,319.355532885,0.026923886143871218
28,11.2029931545,330.558567047,0.02695410099504376
29,11.1987450123,341.757345915,0.02695410099504376
30,11.2086269855,352.966013908,0.02695410099504376
31,11.2045278549,364.17057991,0.02819844286722195
32,11.207036972,375.377655029,0.02819844286722195
33,11.2091400623,386.586833,0.028222306826103428
34,11.1873631477,397.77423501,0.028222306826103428
35,11.2214829922,408.995756865,0.028222306826103428
36,11.2060301304,420.201827049,0.029274437981074646
37,11.2077410221,431.409606934,0.029274437981074646
38,11.1785099506,442.588157892,0.030035486573043918
39,11.2133989334,453.80159688,0.030035486573043918
40,11.1984100342,465.000048876,0.030150813003376156
41,11.2046000957,476.20468998,0.03057920955558848
42,11.2276279926,487.432354927,0.030836805595635453
43,11.211671114,498.644062996,0.03100991552318037
44,11.2051320076,509.849233866,0.031441439408715015
45,11.2221839428,521.071456909,0.031441439408715015
46,11.186248064,532.257741928,0.031441439408715015
47,11.2190048695,543.476786852,0.031863244504543156
48,11.2038681507,554.680695057,0.031863244504543156
