Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,100.248437881,124.206763029,0.09226239519897433
1,106.765270948,230.972098112,0.09226239519897433
2,124.050464869,355.022614002,0.10692978092832785
3,169.935009003,524.957674026,0.11661874068604414
4,208.976328135,733.934053183,0.13482896205256406
5,218.326317787,952.260421991,0.13973161033143294
6,211.009330988,1163.269804,0.14548869418650753
7,213.568403006,1376.83825707,0.15249834720594324
8,219.704602957,1596.54291105,0.15249834720594324
9,218.864145994,1815.40710807,0.1576208229607999
10,214.406809092,2029.81396914,0.16443658131422756
11,204.078449965,2233.89246917,0.16632250764545436
12,204.586409092,2438.47892809,0.16940937808497902
13,201.554666996,2640.03364706,0.17411447512322933
14,199.323651075,2839.35734916,0.17411447512322933
15,200.236829996,3039.59423018,0.17614142013090053
16,182.220692873,3221.81497407,0.17614142013090053
17,193.220450163,3415.03547716,0.17614142013090053
18,196.167192221,3611.20271921,0.18026401525373154
19,181.4726758,3792.67545199,0.18026401525373154
20,177.270272017,3969.94577312,0.18071824839046322
21,188.68459487,4158.63041806,0.1813841779364813
22,194.378726959,4353.00919509,0.18435211348417496
23,184.979521036,4537.9887681,0.19063588838305845
24,148.626533985,4686.61535406,0.19198689637793132
25,150.4012959,4837.01670003,0.1959598125165088
26,155.396917105,4992.41366911,0.1959598125165088
27,149.826416016,5142.24013615,0.1959598125165088
28,152.876235008,5295.11642313,0.1959598125165088
29,161.314899921,5456.43137503,0.1959598125165088
30,155.330352783,5611.76178098,0.1959598125165088
31,168.143623829,5779.90545702,0.1966774152317762
32,167.868405104,5947.77391219,0.1966774152317762
33,162.934015036,6110.7079792,0.19903157553040027
34,156.824139118,6267.5321691,0.20077619450851414
35,151.01769495,6418.54991698,0.20643200087662963
36,154.684449196,6573.2344172,0.2067936649470222
37,144.728787899,6717.96325707,0.2067936649470222
38,158.362043858,6876.325351,0.20688127839292317
39,154.457421064,7030.78282309,0.2079117106657227
40,139.123538971,7169.90641212,0.20926396959391674
41,120.836532116,7290.74299312,0.21180856043551788
42,134.912019014,7425.65506506,0.21180856043551788
43,122.51424408,7548.16935921,0.2134641706958826
44,135.098929167,7683.26833916,0.21698256502095495
45,134.555702925,7817.82409406,0.21698256502095495
46,126.2250669,7944.04921198,0.21698256502095495
47,140.262115002,8084.311378,0.21701961189259897
48,145.128210068,8229.43963814,0.21804710928356758
49,146.773289919,8376.21297812,0.21881758798837161
50,136.925082922,8513.13811302,0.21881758798837217
51,137.21433115,8650.35249519,0.21881758798837217
52,148.122189999,8798.47473717,0.21960105715460676
53,138.606941938,8937.08173513,0.21996498252760804
54,142.940206051,9080.02199221,0.22001800285556955
Iteration,Iteration_CPU_Time,Total_CPU_Time,Objective
0,100.007389784,124.022849798,0.06273603849055448
1,100.306643963,224.329559803,0.07097535897216156
2,108.004988909,332.334597826,0.07918576364823528
3,117.336060047,449.670707941,0.10477379733567856
4,121.328173876,570.998931885,0.10477379733567856
5,129.545643091,700.544626951,0.12732865449115682
6,144.408802986,844.953480959,0.14050478335430366
7,160.474153996,1005.42768598,0.15987890195695373
8,193.544882059,1198.97261786,0.15987890195695373
9,199.118287802,1398.09095383,0.16238971759876814
10,187.585985899,1585.67698979,0.1712598933800746
11,191.441308022,1777.11834693,0.17999905795202387
12,188.025058985,1965.14346099,0.18125461011105198
13,167.381636858,2132.52515483,0.18131287473647742
14,169.212294102,2301.737499,0.18756446215887654
15,160.709195852,2462.44674587,0.18756446215887654
16,168.996257067,2631.44305301,0.19092596057682484
17,156.937219858,2788.38032579,0.19571660221014733
18,164.397981882,2952.77836084,0.19899736731536455
19,161.294326067,3114.07273889,0.20121642681455987
20,151.950064898,3266.02285981,0.20121642681455987
21,159.690021992,3425.71293283,0.20235862516911138
22,143.287957907,3569.00093985,0.20235862516911138
23,137.732800007,3706.73378992,0.20235862516911138
24,129.568072081,3836.30191994,0.20235862516911138
25,142.24198699,3978.54396486,0.2074334692318524
26,147.56921792,4126.11323285,0.2083930313205459
27,145.766505003,4271.87978792,0.2083930313205459
28,132.283817053,4404.16365695,0.2083930313205459
29,138.585164785,4542.7488718,0.20926089037364468
30,142.211082935,4684.96000481,0.20934013218872552
31,126.381191015,4811.34124899,0.20934013218872552
32,146.91546607,4958.25676489,0.20981587175605554
33,137.438417196,5095.69523501,0.21119752761753446
34,129.69305706,5225.3883419,0.21163622031329923
35,126.091158152,5351.47955894,0.21163622031329923
36,141.813416958,5493.29302883,0.21163622031329923
37,145.092103004,5638.38518381,0.21163622031329923
38,139.009899855,5777.39513183,0.2131998388611421
39,143.15099597,5920.54617596,0.2131998388611421
40,144.203554869,6064.74978089,0.21324006117895195
41,141.145377874,6205.89520979,0.21324006117895195
42,158.807260036,6364.70251989,0.21324006117895195
43,152.236336946,6516.93890691,0.21405095465278168
44,146.237769842,6663.17672682,0.2142896423543794
45,136.348517895,6799.52530384,0.2142896423543794
46,131.041877985,6930.56723499,0.21485160009589077
47,133.350405931,7063.9176929,0.21485160009589077
48,117.091413975,7181.0091598,0.21548673743705157
49,126.164552927,7307.1737659,0.21548673743705157
